i_episode: 103,	 reward_accu: 144, 	 action_length: 2116,	 running times: 2116
i_episode: 104,	 reward_accu: 144, 	 action_length: 2309,	 running times: 2309
i_episode: 105,	 reward_accu: 144, 	 action_length: 2042,	 running times: 2042
i_episode: 106,	 reward_accu: 144, 	 action_length: 1698,	 running times: 1698
i_episode: 107,	 reward_accu: 144, 	 action_length: 1748,	 running times: 1748
i_episode: 108,	 reward_accu: 144, 	 action_length: 1584,	 running times: 1584
i_episode: 109,	 reward_accu: 144, 	 action_length: 1424,	 running times: 1424
i_episode: 110,	 reward_accu: 144, 	 action_length: 1498,	 running times: 1498
i_episode: 111,	 reward_accu: 144, 	 action_length: 1488,	 running times: 1488
i_episode: 112,	 reward_accu: 144, 	 action_length: 1509,	 running times: 1509
i_episode: 113,	 reward_accu: 144, 	 action_length: 1675,	 running times: 1675
i_episode: 114,	 reward_accu: 144, 	 action_length: 1539,	 running times: 1539
i_episode: 115,	 reward_accu: 144, 	 action_length: 1553,	 running times: 1553
i_episode: 116,	 reward_accu: 144, 	 action_length: 1607,	 running times: 1607
i_episode: 117,	 reward_accu: 144, 	 action_length: 1482,	 running times: 1482
i_episode: 118,	 reward_accu: 144, 	 action_length: 1500,	 running times: 1500
i_episode: 119,	 reward_accu: 144, 	 action_length: 1592,	 running times: 1592
i_episode: 120,	 reward_accu: 144, 	 action_length: 1480,	 running times: 1480
i_episode: 121,	 reward_accu: 144, 	 action_length: 1482,	 running times: 1482
i_episode: 122,	 reward_accu: 144, 	 action_length: 1503,	 running times: 1503
i_episode: 123,	 reward_accu: 66, 	 action_length: 651,	 running times: 651
i_episode: 124,	 reward_accu: 144, 	 action_length: 1473,	 running times: 1473
i_episode: 125,	 reward_accu: 144, 	 action_length: 1442,	 running times: 1442
i_episode: 126,	 reward_accu: 144, 	 action_length: 1475,	 running times: 1475
i_episode: 127,	 reward_accu: 144, 	 action_length: 1518,	 running times: 1518
i_episode: 128,	 reward_accu: 144, 	 action_length: 1447,	 running times: 1447
i_episode: 129,	 reward_accu: 144, 	 action_length: 1545,	 running times: 1545
i_episode: 130,	 reward_accu: 144, 	 action_length: 1569,	 running times: 1569
i_episode: 131,	 reward_accu: 144, 	 action_length: 1532,	 running times: 1532
i_episode: 132,	 reward_accu: 144, 	 action_length: 1398,	 running times: 1398
i_episode: 133,	 reward_accu: 144, 	 action_length: 1469,	 running times: 1469
i_episode: 134,	 reward_accu: 144, 	 action_length: 1516,	 running times: 1516
i_episode: 135,	 reward_accu: 144, 	 action_length: 1686,	 running times: 1686
i_episode: 136,	 reward_accu: 144, 	 action_length: 1589,	 running times: 1589
i_episode: 137,	 reward_accu: 144, 	 action_length: 2079,	 running times: 2079
i_episode: 138,	 reward_accu: 144, 	 action_length: 2141,	 running times: 2141
i_episode: 139,	 reward_accu: 144, 	 action_length: 1464,	 running times: 1464
i_episode: 140,	 reward_accu: 144, 	 action_length: 1479,	 running times: 1479
i_episode: 141,	 reward_accu: 144, 	 action_length: 1773,	 running times: 1773
i_episode: 142,	 reward_accu: 144, 	 action_length: 2046,	 running times: 2046
i_episode: 143,	 reward_accu: 144, 	 action_length: 1809,	 running times: 1809
i_episode: 144,	 reward_accu: 144, 	 action_length: 1413,	 running times: 1413
i_episode: 145,	 reward_accu: 144, 	 action_length: 1466,	 running times: 1466
i_episode: 146,	 reward_accu: 144, 	 action_length: 1550,	 running times: 1550
i_episode: 147,	 reward_accu: 144, 	 action_length: 1524,	 running times: 1524
i_episode: 148,	 reward_accu: 144, 	 action_length: 1572,	 running times: 1572
i_episode: 149,	 reward_accu: 144, 	 action_length: 1513,	 running times: 1513
