i_episode: 170,	 reward_accu: 48, 	 action_length: 394,	 running times: 136
i_episode: 171,	 reward_accu: 48, 	 action_length: 390,	 running times: 150
i_episode: 172,	 reward_accu: 48, 	 action_length: 404,	 running times: 143
i_episode: 173,	 reward_accu: 48, 	 action_length: 422,	 running times: 154
i_episode: 174,	 reward_accu: 48, 	 action_length: 446,	 running times: 163
i_episode: 175,	 reward_accu: 48, 	 action_length: 376,	 running times: 137
i_episode: 176,	 reward_accu: 48, 	 action_length: 422,	 running times: 148
i_episode: 177,	 reward_accu: 48, 	 action_length: 408,	 running times: 146
i_episode: 178,	 reward_accu: 48, 	 action_length: 484,	 running times: 170
i_episode: 179,	 reward_accu: 48, 	 action_length: 412,	 running times: 148
i_episode: 180,	 reward_accu: 48, 	 action_length: 436,	 running times: 160
i_episode: 181,	 reward_accu: 48, 	 action_length: 446,	 running times: 155
i_episode: 182,	 reward_accu: 48, 	 action_length: 396,	 running times: 146
i_episode: 183,	 reward_accu: 4, 	 action_length: 99,	 running times: 34
i_episode: 184,	 reward_accu: 48, 	 action_length: 404,	 running times: 143
i_episode: 185,	 reward_accu: 48, 	 action_length: 420,	 running times: 144
i_episode: 186,	 reward_accu: 5, 	 action_length: 91,	 running times: 32
i_episode: 187,	 reward_accu: 48, 	 action_length: 460,	 running times: 158
i_episode: 188,	 reward_accu: 48, 	 action_length: 400,	 running times: 149
i_episode: 189,	 reward_accu: 48, 	 action_length: 448,	 running times: 154
i_episode: 190,	 reward_accu: 48, 	 action_length: 438,	 running times: 152
i_episode: 191,	 reward_accu: 28, 	 action_length: 263,	 running times: 89
i_episode: 192,	 reward_accu: 48, 	 action_length: 450,	 running times: 156
i_episode: 193,	 reward_accu: 48, 	 action_length: 452,	 running times: 156
i_episode: 194,	 reward_accu: 48, 	 action_length: 430,	 running times: 162
i_episode: 195,	 reward_accu: 48, 	 action_length: 402,	 running times: 142
i_episode: 196,	 reward_accu: 48, 	 action_length: 432,	 running times: 157
i_episode: 197,	 reward_accu: 48, 	 action_length: 408,	 running times: 149
i_episode: 198,	 reward_accu: 48, 	 action_length: 430,	 running times: 148
i_episode: 199,	 reward_accu: 48, 	 action_length: 400,	 running times: 141
i_episode: 200,	 reward_accu: 48, 	 action_length: 438,	 running times: 154
i_episode: 201,	 reward_accu: 48, 	 action_length: 412,	 running times: 141
i_episode: 202,	 reward_accu: 48, 	 action_length: 404,	 running times: 142
i_episode: 203,	 reward_accu: 48, 	 action_length: 420,	 running times: 151
i_episode: 204,	 reward_accu: 14, 	 action_length: 148,	 running times: 51
i_episode: 205,	 reward_accu: 48, 	 action_length: 508,	 running times: 178
i_episode: 206,	 reward_accu: 48, 	 action_length: 530,	 running times: 188
i_episode: 207,	 reward_accu: 48, 	 action_length: 418,	 running times: 166
i_episode: 208,	 reward_accu: 2, 	 action_length: 37,	 running times: 14
i_episode: 209,	 reward_accu: 48, 	 action_length: 462,	 running times: 163
i_episode: 210,	 reward_accu: 48, 	 action_length: 414,	 running times: 150
i_episode: 211,	 reward_accu: 48, 	 action_length: 544,	 running times: 263
i_episode: 212,	 reward_accu: 48, 	 action_length: 386,	 running times: 138
i_episode: 213,	 reward_accu: 48, 	 action_length: 484,	 running times: 194
i_episode: 214,	 reward_accu: 48, 	 action_length: 398,	 running times: 145
i_episode: 215,	 reward_accu: 48, 	 action_length: 474,	 running times: 165
i_episode: 216,	 reward_accu: 48, 	 action_length: 478,	 running times: 215
i_episode: 217,	 reward_accu: 2, 	 action_length: 47,	 running times: 17
i_episode: 218,	 reward_accu: 48, 	 action_length: 386,	 running times: 142
i_episode: 219,	 reward_accu: 48, 	 action_length: 432,	 running times: 149
i_episode: 220,	 reward_accu: 48, 	 action_length: 392,	 running times: 138
i_episode: 221,	 reward_accu: 48, 	 action_length: 428,	 running times: 146
i_episode: 222,	 reward_accu: 48, 	 action_length: 434,	 running times: 158
i_episode: 223,	 reward_accu: 48, 	 action_length: 426,	 running times: 145
i_episode: 224,	 reward_accu: 48, 	 action_length: 414,	 running times: 148
i_episode: 225,	 reward_accu: 48, 	 action_length: 422,	 running times: 146
i_episode: 226,	 reward_accu: 48, 	 action_length: 436,	 running times: 156
i_episode: 227,	 reward_accu: 23, 	 action_length: 213,	 running times: 72
i_episode: 228,	 reward_accu: 48, 	 action_length: 418,	 running times: 143
i_episode: 229,	 reward_accu: 48, 	 action_length: 444,	 running times: 164
i_episode: 230,	 reward_accu: 22, 	 action_length: 225,	 running times: 76
i_episode: 231,	 reward_accu: 6, 	 action_length: 75,	 running times: 26
i_episode: 232,	 reward_accu: 48, 	 action_length: 420,	 running times: 154
i_episode: 233,	 reward_accu: 48, 	 action_length: 384,	 running times: 137
i_episode: 234,	 reward_accu: 48, 	 action_length: 408,	 running times: 150
i_episode: 235,	 reward_accu: 48, 	 action_length: 398,	 running times: 150
i_episode: 236,	 reward_accu: 48, 	 action_length: 418,	 running times: 148
i_episode: 237,	 reward_accu: 48, 	 action_length: 372,	 running times: 136
i_episode: 238,	 reward_accu: 48, 	 action_length: 456,	 running times: 163
i_episode: 239,	 reward_accu: 48, 	 action_length: 376,	 running times: 136
i_episode: 240,	 reward_accu: 48, 	 action_length: 428,	 running times: 152
i_episode: 241,	 reward_accu: 48, 	 action_length: 372,	 running times: 134
i_episode: 242,	 reward_accu: 48, 	 action_length: 412,	 running times: 154
i_episode: 243,	 reward_accu: 48, 	 action_length: 394,	 running times: 148
i_episode: 244,	 reward_accu: 48, 	 action_length: 412,	 running times: 144
i_episode: 245,	 reward_accu: 48, 	 action_length: 408,	 running times: 141
i_episode: 246,	 reward_accu: 48, 	 action_length: 454,	 running times: 168
i_episode: 247,	 reward_accu: 48, 	 action_length: 396,	 running times: 144
i_episode: 248,	 reward_accu: 48, 	 action_length: 392,	 running times: 134
i_episode: 249,	 reward_accu: 48, 	 action_length: 390,	 running times: 140
i_episode: 250,	 reward_accu: 48, 	 action_length: 394,	 running times: 149
i_episode: 251,	 reward_accu: 48, 	 action_length: 430,	 running times: 160
i_episode: 252,	 reward_accu: 48, 	 action_length: 384,	 running times: 136
i_episode: 253,	 reward_accu: 48, 	 action_length: 420,	 running times: 144
i_episode: 254,	 reward_accu: 48, 	 action_length: 394,	 running times: 148
i_episode: 255,	 reward_accu: 48, 	 action_length: 370,	 running times: 131
i_episode: 256,	 reward_accu: 48, 	 action_length: 436,	 running times: 151
i_episode: 257,	 reward_accu: 48, 	 action_length: 398,	 running times: 146
i_episode: 258,	 reward_accu: 48, 	 action_length: 428,	 running times: 155
i_episode: 259,	 reward_accu: 48, 	 action_length: 404,	 running times: 148
i_episode: 260,	 reward_accu: 48, 	 action_length: 420,	 running times: 154
i_episode: 261,	 reward_accu: 48, 	 action_length: 382,	 running times: 134
i_episode: 262,	 reward_accu: 48, 	 action_length: 402,	 running times: 146
i_episode: 263,	 reward_accu: 48, 	 action_length: 424,	 running times: 162
i_episode: 264,	 reward_accu: 48, 	 action_length: 428,	 running times: 146
i_episode: 265,	 reward_accu: 48, 	 action_length: 424,	 running times: 148
