i_episode: 238,	 reward_accu: 75, 	 action_length: 900,	 running times: 900
i_episode: 239,	 reward_accu: 75, 	 action_length: 884,	 running times: 884
i_episode: 240,	 reward_accu: 75, 	 action_length: 854,	 running times: 854
i_episode: 241,	 reward_accu: 75, 	 action_length: 850,	 running times: 850
i_episode: 242,	 reward_accu: 75, 	 action_length: 888,	 running times: 888
i_episode: 243,	 reward_accu: 75, 	 action_length: 872,	 running times: 872
i_episode: 244,	 reward_accu: 75, 	 action_length: 848,	 running times: 848
i_episode: 245,	 reward_accu: 75, 	 action_length: 854,	 running times: 854
i_episode: 246,	 reward_accu: 75, 	 action_length: 952,	 running times: 952
i_episode: 247,	 reward_accu: 75, 	 action_length: 960,	 running times: 960
i_episode: 248,	 reward_accu: 75, 	 action_length: 814,	 running times: 814
i_episode: 249,	 reward_accu: 75, 	 action_length: 930,	 running times: 930
i_episode: 250,	 reward_accu: 75, 	 action_length: 946,	 running times: 946
i_episode: 251,	 reward_accu: 75, 	 action_length: 934,	 running times: 934
i_episode: 252,	 reward_accu: 75, 	 action_length: 942,	 running times: 942
i_episode: 253,	 reward_accu: 75, 	 action_length: 858,	 running times: 858
i_episode: 254,	 reward_accu: 75, 	 action_length: 906,	 running times: 906
i_episode: 255,	 reward_accu: 75, 	 action_length: 876,	 running times: 876
i_episode: 256,	 reward_accu: 75, 	 action_length: 804,	 running times: 804
i_episode: 257,	 reward_accu: 75, 	 action_length: 870,	 running times: 870
i_episode: 258,	 reward_accu: 75, 	 action_length: 852,	 running times: 852
i_episode: 259,	 reward_accu: 75, 	 action_length: 808,	 running times: 808
i_episode: 260,	 reward_accu: 75, 	 action_length: 910,	 running times: 910
i_episode: 261,	 reward_accu: 75, 	 action_length: 850,	 running times: 850
i_episode: 262,	 reward_accu: 75, 	 action_length: 926,	 running times: 926
i_episode: 263,	 reward_accu: 75, 	 action_length: 832,	 running times: 832
i_episode: 264,	 reward_accu: 75, 	 action_length: 956,	 running times: 956
i_episode: 265,	 reward_accu: 75, 	 action_length: 974,	 running times: 974
i_episode: 266,	 reward_accu: 75, 	 action_length: 850,	 running times: 850
i_episode: 267,	 reward_accu: 75, 	 action_length: 876,	 running times: 876
i_episode: 268,	 reward_accu: 75, 	 action_length: 854,	 running times: 854
i_episode: 269,	 reward_accu: 75, 	 action_length: 854,	 running times: 854
i_episode: 270,	 reward_accu: 75, 	 action_length: 880,	 running times: 880
i_episode: 271,	 reward_accu: 75, 	 action_length: 952,	 running times: 952
i_episode: 272,	 reward_accu: 75, 	 action_length: 918,	 running times: 918
i_episode: 273,	 reward_accu: 75, 	 action_length: 900,	 running times: 900
i_episode: 274,	 reward_accu: 75, 	 action_length: 868,	 running times: 868
i_episode: 275,	 reward_accu: 75, 	 action_length: 998,	 running times: 998
i_episode: 276,	 reward_accu: 75, 	 action_length: 884,	 running times: 884
i_episode: 277,	 reward_accu: 75, 	 action_length: 914,	 running times: 914
i_episode: 278,	 reward_accu: 75, 	 action_length: 988,	 running times: 988
i_episode: 279,	 reward_accu: 75, 	 action_length: 890,	 running times: 890
i_episode: 280,	 reward_accu: 75, 	 action_length: 1006,	 running times: 1006
i_episode: 281,	 reward_accu: 75, 	 action_length: 902,	 running times: 902
i_episode: 282,	 reward_accu: 75, 	 action_length: 880,	 running times: 880
i_episode: 283,	 reward_accu: 75, 	 action_length: 1166,	 running times: 1166
i_episode: 284,	 reward_accu: 75, 	 action_length: 922,	 running times: 922
i_episode: 285,	 reward_accu: 75, 	 action_length: 854,	 running times: 854
i_episode: 286,	 reward_accu: 75, 	 action_length: 880,	 running times: 880
i_episode: 287,	 reward_accu: 75, 	 action_length: 858,	 running times: 858
i_episode: 288,	 reward_accu: 75, 	 action_length: 866,	 running times: 866
i_episode: 289,	 reward_accu: 75, 	 action_length: 832,	 running times: 832
i_episode: 290,	 reward_accu: 75, 	 action_length: 874,	 running times: 874
i_episode: 291,	 reward_accu: 75, 	 action_length: 844,	 running times: 844
i_episode: 292,	 reward_accu: 75, 	 action_length: 844,	 running times: 844
i_episode: 293,	 reward_accu: 75, 	 action_length: 850,	 running times: 850
i_episode: 294,	 reward_accu: 75, 	 action_length: 868,	 running times: 868
i_episode: 295,	 reward_accu: 75, 	 action_length: 858,	 running times: 858
i_episode: 296,	 reward_accu: 75, 	 action_length: 850,	 running times: 850
i_episode: 297,	 reward_accu: 75, 	 action_length: 904,	 running times: 904
i_episode: 298,	 reward_accu: 75, 	 action_length: 934,	 running times: 934
i_episode: 299,	 reward_accu: 75, 	 action_length: 938,	 running times: 938
i_episode: 300,	 reward_accu: 75, 	 action_length: 1016,	 running times: 1016
i_episode: 301,	 reward_accu: 75, 	 action_length: 1098,	 running times: 1098
i_episode: 302,	 reward_accu: 75, 	 action_length: 830,	 running times: 830
i_episode: 303,	 reward_accu: 75, 	 action_length: 956,	 running times: 956
i_episode: 304,	 reward_accu: 75, 	 action_length: 860,	 running times: 860
i_episode: 305,	 reward_accu: 75, 	 action_length: 1142,	 running times: 1142
i_episode: 306,	 reward_accu: 75, 	 action_length: 848,	 running times: 848
i_episode: 307,	 reward_accu: 75, 	 action_length: 1124,	 running times: 1124
i_episode: 308,	 reward_accu: 75, 	 action_length: 844,	 running times: 844
i_episode: 309,	 reward_accu: 75, 	 action_length: 888,	 running times: 888
i_episode: 310,	 reward_accu: 75, 	 action_length: 868,	 running times: 868
i_episode: 311,	 reward_accu: 75, 	 action_length: 1206,	 running times: 1206
i_episode: 312,	 reward_accu: 75, 	 action_length: 836,	 running times: 836
i_episode: 313,	 reward_accu: 75, 	 action_length: 946,	 running times: 946
i_episode: 314,	 reward_accu: 75, 	 action_length: 1018,	 running times: 1018
i_episode: 315,	 reward_accu: 75, 	 action_length: 856,	 running times: 856
i_episode: 316,	 reward_accu: 75, 	 action_length: 892,	 running times: 892
i_episode: 317,	 reward_accu: 75, 	 action_length: 886,	 running times: 886
i_episode: 318,	 reward_accu: 75, 	 action_length: 864,	 running times: 864
i_episode: 319,	 reward_accu: 75, 	 action_length: 862,	 running times: 862
i_episode: 320,	 reward_accu: 75, 	 action_length: 956,	 running times: 956
i_episode: 321,	 reward_accu: 75, 	 action_length: 824,	 running times: 824
i_episode: 322,	 reward_accu: 75, 	 action_length: 868,	 running times: 868
i_episode: 323,	 reward_accu: 75, 	 action_length: 1008,	 running times: 1008
i_episode: 324,	 reward_accu: 75, 	 action_length: 868,	 running times: 868
i_episode: 325,	 reward_accu: 75, 	 action_length: 862,	 running times: 862
i_episode: 326,	 reward_accu: 75, 	 action_length: 850,	 running times: 850
i_episode: 327,	 reward_accu: 75, 	 action_length: 834,	 running times: 834
i_episode: 328,	 reward_accu: 75, 	 action_length: 838,	 running times: 838
i_episode: 329,	 reward_accu: 75, 	 action_length: 880,	 running times: 880
i_episode: 330,	 reward_accu: 75, 	 action_length: 868,	 running times: 868
i_episode: 331,	 reward_accu: 75, 	 action_length: 1172,	 running times: 1172
i_episode: 332,	 reward_accu: 75, 	 action_length: 858,	 running times: 858
i_episode: 333,	 reward_accu: 75, 	 action_length: 844,	 running times: 844
i_episode: 334,	 reward_accu: 75, 	 action_length: 826,	 running times: 826
i_episode: 335,	 reward_accu: 75, 	 action_length: 862,	 running times: 862
i_episode: 336,	 reward_accu: 75, 	 action_length: 870,	 running times: 870
i_episode: 337,	 reward_accu: 75, 	 action_length: 852,	 running times: 852
i_episode: 338,	 reward_accu: 75, 	 action_length: 866,	 running times: 866
i_episode: 339,	 reward_accu: 75, 	 action_length: 922,	 running times: 922
[-1, 0, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, 1, 0, 4, 1, 18, 9, 25, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 19, 75, 75, 75, 75, 75, 27, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 55, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75]
