i_episode: 121,	 reward_accu: 72, 	 action_length: 678,	 running times: 678
i_episode: 122,	 reward_accu: 72, 	 action_length: 671,	 running times: 671
i_episode: 123,	 reward_accu: 72, 	 action_length: 644,	 running times: 644
i_episode: 124,	 reward_accu: 72, 	 action_length: 650,	 running times: 650
i_episode: 125,	 reward_accu: 72, 	 action_length: 667,	 running times: 667
i_episode: 126,	 reward_accu: 72, 	 action_length: 694,	 running times: 694
i_episode: 127,	 reward_accu: 72, 	 action_length: 634,	 running times: 634
i_episode: 128,	 reward_accu: 72, 	 action_length: 673,	 running times: 673
i_episode: 129,	 reward_accu: 72, 	 action_length: 679,	 running times: 679
i_episode: 130,	 reward_accu: 72, 	 action_length: 632,	 running times: 632
i_episode: 131,	 reward_accu: 72, 	 action_length: 650,	 running times: 650
i_episode: 132,	 reward_accu: 72, 	 action_length: 661,	 running times: 661
i_episode: 133,	 reward_accu: 72, 	 action_length: 668,	 running times: 668
i_episode: 134,	 reward_accu: 72, 	 action_length: 722,	 running times: 722
i_episode: 135,	 reward_accu: 72, 	 action_length: 652,	 running times: 652
i_episode: 136,	 reward_accu: 72, 	 action_length: 692,	 running times: 692
i_episode: 137,	 reward_accu: 72, 	 action_length: 658,	 running times: 658
i_episode: 138,	 reward_accu: 72, 	 action_length: 673,	 running times: 673
i_episode: 139,	 reward_accu: 72, 	 action_length: 651,	 running times: 651
i_episode: 140,	 reward_accu: 72, 	 action_length: 680,	 running times: 680
i_episode: 141,	 reward_accu: 72, 	 action_length: 684,	 running times: 684
i_episode: 142,	 reward_accu: 72, 	 action_length: 677,	 running times: 677
i_episode: 143,	 reward_accu: 72, 	 action_length: 658,	 running times: 658
i_episode: 144,	 reward_accu: 72, 	 action_length: 670,	 running times: 670
i_episode: 145,	 reward_accu: 72, 	 action_length: 709,	 running times: 709
i_episode: 146,	 reward_accu: 72, 	 action_length: 658,	 running times: 658
i_episode: 147,	 reward_accu: 72, 	 action_length: 641,	 running times: 641
i_episode: 148,	 reward_accu: 72, 	 action_length: 661,	 running times: 661
i_episode: 149,	 reward_accu: 72, 	 action_length: 668,	 running times: 668
i_episode: 150,	 reward_accu: 72, 	 action_length: 660,	 running times: 660
i_episode: 151,	 reward_accu: 72, 	 action_length: 690,	 running times: 690
i_episode: 152,	 reward_accu: 72, 	 action_length: 671,	 running times: 671
i_episode: 153,	 reward_accu: 72, 	 action_length: 677,	 running times: 677
i_episode: 154,	 reward_accu: 72, 	 action_length: 681,	 running times: 681
i_episode: 155,	 reward_accu: 72, 	 action_length: 651,	 running times: 651
i_episode: 156,	 reward_accu: 72, 	 action_length: 659,	 running times: 659
i_episode: 157,	 reward_accu: 72, 	 action_length: 710,	 running times: 710
i_episode: 158,	 reward_accu: 72, 	 action_length: 752,	 running times: 752
i_episode: 159,	 reward_accu: 72, 	 action_length: 699,	 running times: 699
i_episode: 160,	 reward_accu: 72, 	 action_length: 685,	 running times: 685
i_episode: 161,	 reward_accu: 72, 	 action_length: 701,	 running times: 701
i_episode: 162,	 reward_accu: 72, 	 action_length: 692,	 running times: 692
i_episode: 163,	 reward_accu: 72, 	 action_length: 692,	 running times: 692
i_episode: 164,	 reward_accu: 72, 	 action_length: 664,	 running times: 664
i_episode: 165,	 reward_accu: 72, 	 action_length: 638,	 running times: 638
i_episode: 166,	 reward_accu: 72, 	 action_length: 650,	 running times: 650
i_episode: 167,	 reward_accu: 72, 	 action_length: 655,	 running times: 655
i_episode: 168,	 reward_accu: 72, 	 action_length: 645,	 running times: 645
i_episode: 169,	 reward_accu: 72, 	 action_length: 708,	 running times: 708
i_episode: 170,	 reward_accu: 72, 	 action_length: 670,	 running times: 670
i_episode: 171,	 reward_accu: 72, 	 action_length: 716,	 running times: 716
i_episode: 172,	 reward_accu: 72, 	 action_length: 669,	 running times: 669
[0, -1, -1, 0, -1, 0, 0, -1, -1, -1, -1, -1, 0, 0, 0, 0, 3, 0, 1, 8, 7, 0, 0, 4, 1, 10, 0, 3, 3, 11, 3, 1, 6, 6, 0, 4, 11, 0, 22, 6, 1, 1, 4, 1, 1, 3, 4, 52, 31, 72, 72, 64, 72, 72, 72, 72, 72, 72, 3, 3, 72, 72, 72, 72, 72, 72, 72, 72, 40, 72, 72, 72, 7, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72]
